"Aplicação do recurso","Especificação do material ou serviço","",""
"Capital"," Balanca pesa bebe","",""
"Capital"," Balanceador de rodas","",""
"Capital"," Balancin","",""
"Capital"," Balanco","",""
"Capital"," Balanco proprioceptivo","",""
"Capital"," Balcao de aco","",""
"Capital"," Balcao de atendimento","",""
"Capital"," Balcao de madeira","",""
"Capital"," Balcao de plastico","",""
"Capital"," Balcao frigorifico","",""
"Capital"," Balcao para recepcao","",""
"Capital"," Balcao termico","",""
"Capital"," Balsa inflavel","",""
"Capital"," Bancada de ferro","",""
"Capital"," Bancada de madeira","",""
"Capital"," Bancada de trabalho","",""
"Capital"," Banco adutor","",""
"Capital"," Banco de ferro","",""
"Capital"," Banco de madeira","",""
"Capital"," Banco fixo","",""
"Capital"," Banco giratorio","",""
"Capital"," Banco giratorio de madeira","",""
"Capital"," Banco infantil","",""
"Capital"," Banco para bateria","",""
"Capital"," Banco para jardim","",""
"Capital"," Banco para piano","",""
"Capital"," Banco para refeitorio","",""
"Capital"," Banco para supino","",""
"Capital"," Banco para teclado","",""
"Capital"," Banco sueco","",""
"Capital"," Bandinha","",""
"Capital"," Banheiro quimico","",""
"Capital"," Banho de parafina","",""
"Capital"," Banho maria","",""
"Capital"," Banqueta alta","",""
"Capital"," Banqueta de ferro","",""
"Capital"," Banqueta de madeira","",""
"Capital"," Banqueta fixa","",""
"Capital"," Banqueta giratoria","",""
"Capital"," Banqueta para desenhista","",""
"Capital"," Banqueta para panela","",""
"Capital"," Banqueta plastica","",""
"Capital"," Barco","",""
"Capital"," Barometro","",""
"Capital"," Barra para ginastica","",""
"Capital"," Barra paralela","",""
"Capital"," Barraca","",""
"Capital"," Barreira para salto","",""
"Capital"," Barreira registradora de excesso de velocidade","",""
"Capital"," Bastidor para estacao fixa","",""
"Capital"," Bastidor para estacao repetidora","",""
"Capital"," Batedeira","",""
"Capital"," Bateria musical","",""
"Capital"," Bau de aluminio","",""
"Capital"," Bau de madeira","",""
"Capital"," Bebe conforto","",""
"Capital"," Bebedouro","",""
"Capital"," Beliche","",""
"Capital"," Berco","",""
"Capital"," Berco aquecido","",""
"Capital"," Berco de ferro","",""
"Capital"," Berco de madeira","",""
"Capital"," Berco hospitalar","",""
"Capital"," Betoneira","",""
"Capital"," Bicama","",""
"Capital"," Bicicleta","",""
"Capital"," Bicicleta eletromagnetica","",""
"Capital"," Bicicleta ergometrica","",""
"Capital"," Bigorna","",""
"Capital"," Bilispot","",""
"Capital"," Biombo","",""
"Capital"," Biombo de madeira","",""
"Capital"," Biombo para raio x odontologico","",""
"Capital"," Bipe","",""
"Capital"," Bisturi eletrico","",""
"Capital"," Bisturi eletronico","",""
"Capital"," Bloqueador de chamadas interubarno","",""
"Capital"," Bloqueador inflavel","",""
"Capital"," Bomba aspiradora","",""
"Capital"," Bomba auto escorvante","",""
"Capital"," Bomba centrifuga","",""
"Capital"," Bomba de alta sucsao","",""
"Capital"," Bomba de emulsao","",""
"Capital"," Bomba de graxa","",""
"Capital"," Bomba de incendio","",""
"Capital"," Bomba de infusao","",""
"Capital"," Bomba de oleo","",""
"Capital"," Bomba de succao","",""
"Capital"," Bomba de vacuo","",""
"Capital"," Bomba detectora de gases","",""
"Capital"," Bomba dosadora","",""
"Capital"," Bomba hidraulica","",""
"Capital"," Bomba para abastecimento","",""
"Capital"," Bomba para lavagem de veiculos","",""
"Capital"," Bomba para transferencia de oleo diesel","",""
"Capital"," Bomba pulverizadora","",""
"Capital"," Bomba rotativa","",""
"Capital"," Bombardao","",""
"Capital"," Bombardino","",""
"Capital"," Bombo","",""
"Capital"," Bonde","",""
"Capital"," Bongo","",""
"Capital"," Bote inflavel","",""
"Capital"," Bracadeira para injecao","",""
"Capital"," Braco articulavel para monitor","",""
"Capital"," Braco pantografico","",""
"Capital"," Britador","",""
"Capital"," Brocarete","",""
"Capital"," Buffet","",""
"Capital"," Bumbo","",""
"Capital"," Bumbo fuzileiro","",""
"Capital"," Bussola","",""
"Capital"," Busto","",""
"Capital"," Cabine audiometrica","",""
"Capital"," Cacamba","",""
"Capital"," Cacamba basculante","",""
"Capital"," Cadeira","",""
"Capital"," Cadeira automatica","",""
"Capital"," Cadeira cirurgica","",""
"Capital"," Cadeira de ferro","",""
"Capital"," Cadeira de madeira","",""
"Capital"," Cadeira de rodas","",""
"Capital"," Cadeira dirigivel","",""
"Capital"," Cadeira escolar","",""
"Capital"," Cadeira escolar especial","",""
"Capital"," Cadeira fixa","",""
"Capital"," Cadeira fixa empilhavel","",""
"Capital"," Cadeira giratoria","",""
"Capital"," Cadeira hidraulica","",""
"Capital"," Cadeira infantil","",""
"Capital"," Cadeira infantil adaptada","",""
"Capital"," Cadeira odontologica","",""
"Capital"," Cadeira oftalmologica","",""
"Capital"," Cadeira otorrinolaringologia","",""
"Capital"," Cadeira para balcao","",""
"Capital"," Cadeira para banho","",""
"Capital"," Cadeira para barbeiro","",""
"Capital"," Cadeira para cabeleireiro","",""
"Capital"," Cadeira para coleta de sangue","",""
"Capital"," Cadeira para massagem","",""
"Capital"," Cadeira para raio x","",""
"Capital"," Cadeira para refeitorio","",""
"Capital"," Cadeira para turbilhao","",""
"Capital"," Cadeira secretaria","",""
"Capital"," Cadeira universitaria","",""
"Capital"," Cadeira veicular","",""
