Aplicação do recurso,Especificação do material ou serviço
Capital,Aspirador  e soprador de folhas
Capital,Aspirador cirurgico
Capital,Aspirador de agua
Capital,Aspirador de po
Capital,Aspirador de po e agua
Capital,Aspirador e jateador de ar
Capital,Aspirador hospitalar
Capital,Atabaque
Capital,Atendedor digital
Capital,Atomizador
Capital,Atomizador costal
Capital,Audiometro
Capital,Auscutador fetal
Capital,Autenticadora
Capital,Auto bomba
Capital,Auto radio
Capital,Auto salvamento
Capital,Autoclave
Capital,Automóvel
Capital,Badisco
Capital,Bafometro
Capital,Baia para atendimento
Capital,Baixo
Capital,Baixo tuba
Capital,Balança
Capital,Balanca antropometrica
Capital,Balança digital
Capital,Balanca eletronica
Capital,Balanca mecanica
Capital,Balanca pesa bebe
Capital,Balanceador de rodas
Capital,Balancin
Capital,Balanco
Capital,Balanco proprioceptivo
Capital,Balcao de aco
Capital,Balcao de atendimento
Capital,Balcao de madeira
Capital,Balcao de plastico
Capital,Balcao frigorifico
Capital,Balcao para recepcao
Capital,Balcao termico
Capital,Balsa inflavel
Capital,Bancada de camarim
Capital,Bancada de ferro
Capital,Bancada de madeira
Capital,Bancada de trabalho
Capital,Banco adutor
Capital,Banco de aço carbono
Capital,Banco de ferro
Capital,Banco de madeira
Capital,Banco fixo
Capital,Banco giratorio
Capital,Banco giratorio de madeira
Capital,Banco infantil
Capital,Banco multi posicoes
Capital,Banco para bateria
Capital,Banco para jardim
Capital,Banco para piano
Capital,Banco para refeitorio
Capital,Banco para supino
Capital,Banco para teclado
Capital,Banco sueco
Capital,Bandinha
Capital,Bandolim
Capital,Banheiro quimico
Capital,Banho de parafina
Capital,Banho maria
Capital,Banho maria digital
Capital,Banqueta alta
Capital,Banqueta de ferro
Capital,Banqueta de madeira
Capital,Banqueta fixa
Capital,Banqueta giratoria
Capital,Banqueta para desenhista
Capital,Banqueta para panela
Capital,Banqueta plastica
Capital,Barco
Capital,Barometro
Capital,Barra para ginastica
Capital,Barra paralela
Capital,Barraca
Capital,Barreira de softwall
Capital,Barreira para salto
Capital,Barreira registradora de excesso de velocidade
Capital,Bastidor para estacao fixa
Capital,Bastidor para estacao repetidora
Capital,Batedeira
Capital,Bateria musical
Capital,Bau de acessórios
Capital,Bau de aluminio
Capital,Bau de madeira
Capital,Bebe conforto
Capital,Bebedouro
Capital,Beliche
Capital,Bem não atende critério de controle no sbpm
Capital,Bens doação os
Capital,Berco
Capital,Berco aquecido
Capital,Berco de ferro
Capital,Berco de madeira
Capital,Berco hospitalar
Capital,Betoneira
Capital,Biblioteca de fitas para backup
Capital,Bicama
Capital,Bicicleta
Capital,Bicicleta eletromagnetica
Capital,Bicicleta ergometrica
Capital,Bigorna
Capital,Bilispot
Capital,Biombo
Capital,Biombo de madeira
Capital,Biombo para raio x odontologico
Capital,Bipap
Capital,Bipe
Capital,Bisturi eletrico
Capital,Bisturi eletronico
Capital,Bituqueira
Capital,Bloco de partida em aço
Capital,Bloco digestor
Capital,Bloqueador inflavel
Capital,Blu ray
Capital,Bomba aspiradora
Capital,Bomba auto escorvante
Capital,Bomba centrifuga
Capital,Bomba de alta sucsao
Capital,Bomba de emulsao
Capital,Bomba de graxa
Capital,Bomba de incendio
Capital,Bomba de infusao
Capital,Bomba de irrigação para endoscopia
Capital,Bomba de oleo
Capital,Bomba de succao
Capital,Bomba de vacuo
Capital,Bomba detectora de gases
Capital,Bomba dosadora
Capital,Bomba hidraulica
Capital,Bomba para abastecimento
Capital,Bomba para lavagem de veiculos
Capital,Bomba para transferencia de oleo diesel
Capital,Bomba pulverizadora
Capital,Bomba rotativa
Capital,Bomba submersível
Capital,Bombardao
Capital,Bombardino
Capital,Bombo
Capital,Bonde
Capital,Bongo
Capital,Bosu fisioterapia
Capital,Bote inflavel
Capital,Botijão criogênico
Capital,Botijão garrafa térmica
Capital,Box truss
Capital,Braco articulavel para monitor
Capital,Braco pantografico
Capital,Brinquedo para atividade psicomotora
Capital,Brinquedoteca móvel
Capital,Britador
Capital,Buffet
Capital,Bumbo
Capital,Bumbo fuzileiro
Capital,Bussola
Capital,Busto
Capital,Cabina de fluxo unidirecional
Capital,Cabine audiometrica
Capital,Cacamba
Capital,Cacamba basculante
Capital,Cadeira
Capital,Cadeira  adutora e abdutora
Capital,Cadeira automatica
Capital,Cadeira cirurgica
Capital,Cadeira de ferro
Capital,Cadeira de madeira
Capital,Cadeira de rodas
Capital,Cadeira dirigivel
Capital,Cadeira escolar
Capital,Cadeira escolar especial
Capital,Cadeira extensora graduada
Capital,Cadeira fixa
Capital,Cadeira fixa empilhavel
Capital,Cadeira flexora e extensora
Capital,Cadeira giratoria
Capital,Cadeira hidraulica
Capital,Cadeira infantil
Capital,Cadeira infantil adaptada
